school_id,SchoolName,District/Organization,orgName (from District/Organization),State (District),Application-School,Num7thGradeMathTeachers (School App),Application-Teacher,Interest Forms,People,School Website,State,# Teachers (Manual),NCES School Code,Locale Code,NCES ID,Notes,Attachments,School Appl  Status (from Application-School),Teacher App Status (from Application-Teacher),Study Status,MOU Status (from District/Organization),Research App Status (from District/Organization),Address,pct.race.two (from NCES ID),pct.race.white (from NCES ID),pct.race.black (from NCES ID),pct.race.hispanic (from NCES ID),pct.race.asian.pi (from NCES ID),pct.race.native (from NCES ID),pct.idea (from NCES ID),pct.lep (from NCES ID),pct.frl,num.stu.grade.7 (from NCES ID),num.stu (from NCES ID),grade.7.offered (from NCES ID),highest.grade.offered (from NCES ID),lowest.grade.offered (from NCES ID),charter (from NCES ID),school.type (from NCES ID),School Demographics,School Address (from NCES ID),Rural,MOU Status (from District/Organization) 2,Research App Status (from District/Organization) 2,Follow-up email sent,Call Scheduled,District Call Scheduled,# Teacher Apps,School Start 2021-2022
1,JEFFERSON ELEMENTARY,1,Lindsay Unified,CA ,,,,30,179,,CA ,,62187002594,43,62187002594,,,,,,,,,2.1,37.1,54.8,6,0,0,11.1,0.3,99.1,121,334,1 checked out of 1,12th Grade,7th Grade,0 checked out of 1,Regular school,,,YES,,,,,,0,
2,YODER CHARTER ELEM SCHOOL,2,Haven Public Schools,KS ,,,,32,250,,KS ,,2.00696E+11,42,2.00696E+11,,,,,,,,,0,68.7,16.2,10.7,3.7,0.7,,,6.9,,579,1 checked out of 1,8th Grade,5th Grade,0 checked out of 1,Regular school,,,YES,,,,,,0,
3,ESPARTO HIGH,3,Esparto Unified,CA ,,,169,,175,,CA ,,61293001470,32,61293001470,,,,Complete,,,Not listed on website; Follow-up,,4,10.1,78.1,5.3,1.3,1.3,5.5,1.3,98.9,102,1237,1 checked out of 1,8th Grade,7th Grade,0 checked out of 1,Regular school,,,YES,,Not listed on website; Follow-up,,,,1,
4,BEAUCLERC ELEMENTARY SCHOOL,4,DUVAL,FL ,,,31,,49,,FL ,,1.20048E+11,11,1.20048E+11,,,,Complete,,Received,Not Needed,,10.1,32.5,40.9,12.5,2.2,1.8,15.2,2.9,99.6,248,722,1 checked out of 1,8th Grade,Prekindergarten,1 checked out of 1,Regular school,,,NO,Received,Not Needed,,,,1,
5,VAN WYCK ELEMENTARY SCHOOL,5,Lancaster 01,SC ,12,1,8,,"19,105,214",,SC ,1,4.50258E+11,11,4.50258E+11,,,Complete,Ineligible,"Study App Complete,Confirmed Participant",Received,Not Needed,,8.1,20.6,51.1,16.3,1.4,2.6,18.8,2.8,98.8,212,664,1 checked out of 1,7th Grade,Prekindergarten,1 checked out of 1,Regular school,,,NO,Received,Not Needed,checked,checked,checked,0,
6,RILEY ELEMENTARY SCHOOL,6,LaPorte Community School Corp,IN ,,,128,,143,,IN ,,1.80558E+11,12,1.80558E+11,,,,Complete,,,Needed,,9.4,15.2,54.1,18.1,0.9,2.3,19.7,3,95.9,177,564,1 checked out of 1,8th Grade,6th Grade,0 checked out of 1,Regular school,,,NO,,Needed,,,,1,
7,KEENE H S,7,KEENE ISD,TX ,49,4,155,,"130,229",,TX ,,4.82523E+11,21,4.82523E+11,,,Complete,Incomplete,,,Not listed on website; Follow-up,,2.3,92.1,0.6,3.4,1.1,0.6,10.1,0,24.9,71,353,1 checked out of 1,8th Grade,6th Grade,0 checked out of 1,Regular school,,,NO,,Not listed on website; Follow-up,,,,0,
8,ORANGE PARK HIGH SCHOOL,8,CLAY,FL ,,,94,,150,,FL ,,1.2003E+11,11,1.2003E+11,,,,Complete,,,Needed,,6.8,40.4,37.8,9.6,5.3,0.2,17.8,2.8,62.9,143,617,1 checked out of 1,8th Grade,Prekindergarten,0 checked out of 1,Regular school,,,NO,,Needed,,,,1,
9,FRANKFORT-SCHUYLER CENTRAL HIGH SCHOOL,9,FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT,NY ,,,117,,111,,NY ,,3.6114E+11,11,3.6114E+11,,,,Complete,,,Needed,,0,16.3,8,53,22.4,0.2,0,17.2,70.1,0,411,1 checked out of 1,8th Grade,Prekindergarten,0 checked out of 1,Regular school,,,NO,,Needed,,,,1,
10,WESTWOOD JUNIOR/SENIOR HIGH SCHOOL,10,Westwood Regional School District,NJ ,31,2,"135,147",,"133,261,288",,NJ ,,3.41782E+11,41,3.41782E+11,,,Complete,"Complete, Complete","Study App Complete,Not Moving Forward",Waiting on District,Not Needed,,0.8,36.1,56.1,5.1,1.7,0.1,11.6,6,65.8,59,720,1 checked out of 1,8th Grade,5th Grade,0 checked out of 1,Regular school,,,YES,Waiting on District,Not Needed,checked,checked,,2,
